deputado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Jovair Arantes,1            ,5,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,5,5,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Jozi  Araújo,5,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
João Arruda,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
João Campos,1            ,5,5,0            ,0            ,0            ,0            ,5,0            ,1            ,5,0            ,1            ,0            ,5,0            ,1            ,5,0            ,1            ,5,0            ,5,5,0            ,1            ,5,1            ,1            ,1            ,5,1            ,1            
João Carlos Bacelar,1            ,5,1            ,5,0            ,0            ,0            ,1            ,5,1            ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,5,0            ,5,0            ,1            ,5,5,5,5,5,5,5
João Castelo,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
João Daniel,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,0            ,3      ,0            
João Derly,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,1            ,1            ,1            ,0            ,5,0            ,0            ,1            ,0            ,0            ,0            ,0            ,0            
João Fernando Coutinho,5,5,5,5,0            ,0            ,5,5,5,0            ,1            ,5,5,5,5,5,5,5,0            ,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5
João Gualberto,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
João Marcelo Souza,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
João Paulo Papa,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
João Rodrigues,1            ,0            ,1            ,0            ,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Julio Lopes,5,0            ,1            ,5,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Junior Marreca,1            ,0            ,1            ,5,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,0            ,5,5,5,0            ,5,5,5,5,5,5,5,5
Juscelino Filho,1            ,5,1            ,0            ,5,5,5,5,5,1            ,5,5,1            ,0            ,0            ,0            ,1            ,0            ,5,5,0            ,5,0            ,5,0            ,1            ,5,1            ,1            ,5,5,1            ,5
Jutahy Junior,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Jéssica Sales,1            ,0            ,1            ,0            ,5,5,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Jô Moraes,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,5,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,0            ,0            ,3      ,3      ,0            
Júlia Marinho,0            ,5,5,0            ,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,0            ,0            ,0            ,1            ,5,5,5,5,5,5,5,5,5
Júlio Cesar,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,5,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Júlio Delgado,5,0            ,4      ,0            ,0            ,0            ,5,1            ,0            ,0            ,5,1            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,0            ,0            ,0            ,5,5,1            ,0            ,5,0            ,1            ,0            ,4      ,0            ,0            
Kaio Maniçoba,1            ,5,5,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,5,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Keiko Ota,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,1            ,0            ,0            ,1            ,0            ,5,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Laercio Oliveira,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,5,5,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Laerte Bessa,1            ,0            ,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,0            ,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Laudivio Carvalho,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Laura Carneiro,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,5,5,5,5,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Leandre,5,5,1            ,1            ,5,5,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,1            ,1            ,0            ,0            ,1            ,0            ,5,5,1            ,1            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,0            
Lelo Coimbra,1            ,1            ,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,5,5,5,5,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Leo de Brito,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,5,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,5,5,5
Leonardo Monteiro,3      ,3      ,3      ,5,5,5,3      ,3      ,3      ,0            ,3      ,5,0            ,1            ,1            ,1            ,3      ,1            ,3      ,5,3      ,5,3      ,3      ,3      ,0            ,5,5,3      ,3      ,3      ,3      ,0            
Leonardo Quintão,5,5,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,1            ,1            ,0            ,0            ,1            ,5,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Leopoldo Meyer,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Leônidas Cristino,3      ,3      ,3      ,5,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,5,3      ,3      ,3      ,3      ,0            ,3      ,3      ,5,5,5,5,5
Lincoln Portela,1            ,5,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,1            ,5,5,5,5,5,0            ,5,5,5,5,5,5,5
Lindomar Garçon,5,0            ,1            ,0            ,5,5,5,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Lobbe Neto,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,0            ,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Lucas Vergilio,5,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,5,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,5,1            ,1            ,1            
Luciana Santos,3      ,3      ,3      ,1            ,3      ,3      ,3      ,5,3      ,0            ,3      ,5,0            ,5,5,5,5,5,5,0            ,3      ,3      ,3      ,5,1            ,0            ,5,5,5,5,5,5,5
Luciano Ducci,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Lucio Mosquini,5,0            ,1            ,0            ,0            ,0            ,5,1            ,5,1            ,5,5,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,5,5,5,5,5,5
Lucio Vieira Lima,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Luis Carlos Heinze,1            ,5,1            ,5,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,5,5,5,1            ,5,0            ,1            ,0            ,5,5,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Luis Tibé,5,5,5,5,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,5,1            ,5,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Luiz Carlos Busato,1            ,0            ,1            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Luiz Carlos Hauly,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Luiz Carlos Ramos,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Luiz Cláudio,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Luiz Couto,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,5,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Luiz Fernando Faria,5,0            ,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,5,1            ,1            ,1            
Luiz Lauro Filho,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Luiz Nishimori,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Luiz Sérgio,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,5,3      ,3      ,5,3      ,0            ,3      ,3      ,5,0            ,0            ,0            ,0            
Luiza Erundina,3      ,3      ,3      ,5,3      ,3      ,3      ,5,3      ,0            ,5,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,0            ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Luizianne Lins,3      ,3      ,3      ,3      ,3      ,3      ,5,3      ,5,0            ,3      ,1            ,0            ,1            ,1            ,5,3      ,5,5,3      ,1            ,3      ,3      ,3      ,3      ,0            ,3      ,5,5,5,5,5,5
Lázaro Botelho,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Lúcio Vale,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Macedo,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Magda Mofatto,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,5,5
Maia Filho,5,5,5,5,5,5,5,5,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,5,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Major Olimpio,1            ,1            ,1            ,0            ,1            ,1            ,0            ,0            ,1            ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,0            ,5,1            ,0            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,0            ,0            ,0            ,0            ,0            ,0            
Mandetta,5,5,5,5,5,5,5,5,5,1            ,5,5,1            ,0            ,5,1            ,1            ,5,5,5,0            ,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Manoel Junior,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,5,5,1            ,5,5,5,5,5,0            ,1            ,5,5,5,1            ,0            ,1            ,0            ,1            ,5,1            ,5,1            ,1            
Mara Gabrilli,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,5,5,5,5,5,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marcelo Aguiar,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marcelo Aro,1            ,0            ,1            ,5,0            ,0            ,5,5,5,1            ,5,5,1            ,5,0            ,5,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Marcelo Belinati,5,5,5,5,5,5,0            ,1            ,0            ,0            ,5,5,5,5,5,5,1            ,1            ,0            ,1            ,0            ,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marcelo Castro,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marcelo Matos,1            ,0            ,1            ,0            ,5,5,5,5,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marcelo Squassoni,1            ,0            ,1            ,5,5,5,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,1            ,5,5,5,5,0            ,1            ,0            ,1            ,1            ,5,1            ,1            ,1            
Marcelo Álvaro Antônio,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marcio Alvino,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marco Maia,5,5,5,3      ,5,5,5,3      ,5,0            ,5,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,5,3      ,3      ,5,3      ,3      ,0            ,5,3      ,5,5,5,5,0            
Marco Tebaldi,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marcon,3      ,5,1            ,5,5,5,3      ,5,5,0            ,1            ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,5,3      ,3      ,5,3      ,3      ,0            ,3      ,3      ,5,5,5,5,5
Marcos Abrão,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marcos Montes,1            ,5,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marcos Reategui,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,1            ,5,1            ,0            ,0            ,1            ,1            ,1            ,5,1            ,0            ,0            ,5,5,1            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,0            
Marcos Rogério,1            ,0            ,1            ,0            ,5,5,0            ,5,5,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,5,0            ,0            ,5,0            ,1            ,0            ,1            ,5,5,1            ,1            ,1            
Marcos Rotta,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marcos Soares,5,0            ,1            ,0            ,0            ,0            ,5,5,5,1            ,0            ,0            ,5,5,5,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,1            ,1            ,1            ,1            
Marcus Pestana,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,5,0            ,1            ,0            ,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marcus Vicente,5,0            ,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,1            ,0            ,0            ,0            ,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Margarida Salomão,5,5,3      ,3      ,3      ,3      ,3      ,5,3      ,0            ,5,5,5,5,5,5,5,5,5,3      ,3      ,3      ,5,3      ,3      ,5,5,5,5,5,5,5,5
Maria Helena,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Maria do Rosário,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,5,3      ,3      ,3      ,3      ,3      ,0            
Mariana Carvalho,5,5,5,5,5,5,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,0            ,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marinaldo Rosendo,5,5,5,5,5,5,0            ,5,0            ,1            ,5,5,1            ,5,5,5,5,5,5,1            ,5,5,5,5,5,1            ,0            ,1            ,1            ,5,5,5,5
Marinha Raupp,1            ,0            ,1            ,1            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,5,5,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Marquinho Mendes,1            ,0            ,1            ,0            ,0            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Marx Beltrão,5,5,5,5,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mauro Lopes,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,5,5,5,1            ,5,0            ,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Mauro Mariani,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Mauro Pereira,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,0            ,1            ,5,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Miguel Haddad,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Miguel Lombardi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Milton Monti,5,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Miro Teixeira,0            ,1            ,3      ,3      ,3      ,3      ,0            ,0            ,5,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,5,0            ,1            ,1            ,1            ,0            ,1            ,0            ,0            ,0            ,0            ,0            ,0            ,0            ,0            
Misael Varella,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,5,5,5
Missionário José Olimpio,1            ,0            ,1            ,0            ,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Moema Gramacho,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,5,1            ,0            ,5,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,5,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Moisés Diniz,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3      ,3      ,3      ,3      ,5,3      ,0            ,5,3      ,0            ,0            ,3      ,3      ,0            
Moses Rodrigues,5,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,5,0            ,5,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Márcio Marinho,1            ,0            ,5,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Mário Heringer,5,0            ,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,3      ,0            ,1            ,0            ,1            ,5,5,5,5,5,5,5
Mário Negromonte Jr.,1            ,0            ,1            ,0            ,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,0            ,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Nelson Marchezan Junior,5,5,5,5,5,5,5,1            ,5,1            ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,5,5,5,5,5,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Nelson Marquezelli,1            ,0            ,1            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Nelson Meurer,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Nelson Padovani,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,5,0            ,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Nelson Pellegrino,5,5,3      ,3      ,3      ,3      ,3      ,5,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
